R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Blackburn,10%,43%,47%
2,Wigan,10%,54%,36%
3,Sunderland,9%,46%,44%
4,West Ham,9%,44%,47%
5,Liverpool,9%,42%,49%
6,Portsmouth,8%,49%,43%
7,Manchester City,8%,46%,46%
8,Bolton,7%,53%,40%
9,Birmingham,7%,49%,44%
10,Stoke,7%,43%,50%
11,Tottenham,7%,48%,45%
12,Wolverhampton Wanderers,7%,55%,39%
13,Burnley,7%,51%,42%
14,Fulham,7%,46%,47%
15,Arsenal,6%,46%,49%
16,Aston Villa,6%,45%,49%
17,Everton,6%,48%,47%
18,Hull,6%,50%,43%
19,Chelsea,5%,46%,49%
20,Manchester United,5%,44%,51%
