R,Team,Own Third,Middle Third,Opposition Third
1,Reims,31%,44%,25%
2,Dijon,30%,46%,23%
3,Brest,30%,44%,26%
4,Nimes,29%,46%,25%
5,Montpellier,29%,45%,27%
6,Metz,29%,47%,25%
7,Nice,29%,45%,25%
8,Saint-Etienne,28%,45%,26%
9,Lorient,28%,48%,25%
10,Bordeaux,28%,46%,25%
11,Marseille,28%,47%,25%
12,Strasbourg,27%,47%,26%
13,Lens,26%,46%,28%
14,Nantes,25%,46%,28%
15,Angers,25%,48%,26%
16,Lyon,24%,44%,32%
17,Lille,24%,47%,30%
18,Monaco,23%,47%,29%
19,Rennes,23%,47%,29%
20,Paris Saint-Germain,23%,46%,32%
