R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,56,8,8,12,2
2,Lyon,47,6,12,11,5
3,Lille,46,3,8,5,2
4,Monaco,41,4,19,12,0
5,Montpellier,40,2,16,2,0
6,Marseille,37,0,12,4,1
7,Rennes,35,1,11,3,2
8,Brest,35,1,9,3,2
9,Nice,33,1,8,7,1
10,Lens,30,2,11,10,2
11,Nantes,28,2,9,8,0
12,Strasbourg,27,3,9,10,0
13,Nimes,25,4,4,7,0
14,Reims,25,0,9,5,3
15,Angers,24,1,10,5,0
16,Metz,23,5,7,7,2
17,Lorient,21,8,11,9,1
18,Bordeaux,21,5,11,4,1
19,Saint-Etienne,20,4,10,6,2
20,Dijon,15,2,5,3,0
