R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Marseille,11%,53%,36%
2,Lens,11%,51%,39%
3,Strasbourg,10%,53%,38%
4,Lyon,10%,57%,33%
5,Montpellier,10%,58%,32%
6,Nantes,10%,47%,43%
7,Paris Saint-Germain,9%,60%,31%
8,Saint-Etienne,8%,56%,36%
9,Monaco,8%,60%,32%
10,Brest,8%,57%,34%
11,Bordeaux,7%,57%,36%
12,Angers,7%,51%,42%
13,Nice,7%,56%,37%
14,Lorient,6%,49%,45%
15,Nimes,6%,55%,39%
16,Metz,6%,48%,46%
17,Rennes,6%,53%,41%
18,Reims,5%,53%,42%
19,Dijon,4%,59%,37%
20,Lille,3%,52%,45%
