R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Dijon,11%,56%,33%
2,Angers,10%,53%,37%
3,Strasbourg,9%,55%,36%
4,Paris Saint-Germain,9%,50%,41%
5,Reims,9%,47%,44%
6,Nimes,8%,58%,34%
7,Marseille,8%,53%,39%
8,Rennes,8%,55%,38%
9,Bordeaux,8%,55%,38%
10,Lille,8%,53%,39%
11,Brest,8%,57%,36%
12,Nice,8%,53%,39%
13,Saint-Etienne,7%,56%,37%
14,Montpellier,7%,57%,36%
15,Nantes,7%,60%,33%
16,Monaco,6%,52%,43%
17,Metz,6%,53%,41%
18,Lorient,5%,56%,40%
19,Lens,5%,59%,36%
20,Lyon,4%,54%,42%
