R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Athletic Bilbao,8%,53%,38%
2,Valencia,8%,54%,38%
3,Atletico Madrid,7%,54%,39%
4,Sevilla,7%,55%,38%
5,Malaga,7%,51%,42%
6,Levante,7%,45%,48%
7,Racing Santander,6%,48%,46%
8,Rayo Vallecano,6%,53%,41%
9,Barcelona,6%,60%,33%
10,Sporting Gijon,6%,45%,49%
11,Real Madrid,5%,51%,44%
12,Real Betis,5%,44%,51%
13,Real Zaragoza,5%,44%,51%
14,Real Sociedad,5%,53%,42%
15,Espanyol,5%,45%,50%
16,Getafe,5%,51%,45%
17,Villarreal,5%,50%,45%
18,Granada,5%,43%,52%
19,Mallorca,4%,51%,45%
20,Osasuna,4%,48%,48%
