Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,114,16.5,745,65.4,88.4,5.7,7.25
2. Real Madrid,121,19.3,905,56.9,84.8,8.4,7.19
3. Malaga,54,14,727,51.4,79.1,11.7,6.96
4. Real Sociedad,46,12.6,788,46.8,74.6,13.9,6.95
5. Sevilla,48,15.4,1098,51.4,77.1,15.3,6.94
6. Athletic Bilbao,49,12.2,1058,55.2,79.2,12.2,6.93
7. Real Betis,47,13.6,1017,50.8,77.6,11.4,6.93
8. Atletico Madrid,53,15.3,1284,50.6,77.2,10.6,6.91
9. Valencia,59,13.4,1287,54.6,78.9,11.4,6.90
10. Levante,55,10.3,1184,42.8,69.7,12,6.90
11. Villarreal,39,12,975,50.4,78.2,11.3,6.89
12. Mallorca,41,11.5,1186,45.4,70.4,17.3,6.87
13. Rayo Vallecano,53,12.9,1274,50.7,71.4,14.5,6.87
14. Osasuna,44,12.3,988,46.8,66.7,18.6,6.87
15. Espanyol,46,13.1,1297,52.9,77.7,9.7,6.83
16. Real Zaragoza,36,11.4,1199,46.6,70.7,12.7,6.81
17. Getafe,40,9.8,1268,46.6,71.7,15,6.81
18. Sporting Gijon,42,12.2,1185,44.9,70.3,13,6.81
19. Granada,37,13,10810,47.5,74.9,11.7,6.77
20. Racing Santander,28,9.4,1158,42.3,69.1,13,6.74
