R,Team,Left Side,Attempts from the middle,Right Side
1,Espanyol,23%,61%,16%
2,Sevilla,23%,59%,18%
3,Osasuna,23%,58%,19%
4,Sporting Gijon,22%,60%,19%
5,Granada,22%,56%,22%
6,Real Madrid,21%,58%,21%
7,Racing Santander,21%,62%,18%
8,Barcelona,21%,63%,15%
9,Real Sociedad,21%,61%,18%
10,Getafe,21%,60%,19%
11,Real Zaragoza,20%,63%,17%
12,Villarreal,20%,63%,17%
13,Mallorca,19%,61%,20%
14,Athletic Bilbao,19%,64%,17%
15,Real Betis,19%,61%,19%
16,Valencia,19%,61%,20%
17,Atletico Madrid,19%,63%,18%
18,Rayo Vallecano,19%,62%,19%
19,Malaga,19%,62%,19%
20,Levante,19%,61%,20%
