R,Team,Fouls,Unprofessional,Dive,Other
1,Atletico Madrid,96,2,1,35
2,Rayo Vallecano,89,5,0,38
3,Athletic Bilbao,86,4,0,29
4,Sporting Gijon,86,3,0,39
5,Mallorca,84,6,2,35
6,Real Zaragoza,84,10,0,39
7,Getafe,84,8,1,45
8,Valencia,81,16,1,38
9,Racing Santander,78,8,3,37
10,Sevilla,76,9,1,36
11,Espanyol,76,7,2,56
12,Osasuna,74,6,2,30
13,Levante,72,14,3,37
14,Real Betis,71,2,3,35
15,Real Madrid,65,4,0,30
16,Villarreal,62,2,1,40
17,Real Sociedad,58,6,0,27
18,Granada,57,4,0,61
19,Malaga,54,4,1,23
20,Barcelona,38,3,2,40
