R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,17,13,54,655
2,Real Madrid,22,7,64,474
3,Athletic Bilbao,23,4,62,434
4,Espanyol,20,5,58,406
5,Malaga,24,3,63,398
6,Valencia,24,5,69,396
7,Villarreal,16,6,58,389
8,Real Betis,18,7,58,381
9,Sevilla,24,5,67,379
10,Atletico Madrid,25,4,63,368
11,Real Sociedad,24,3,71,337
12,Granada,21,2,71,320
13,Rayo Vallecano,21,3,75,316
14,Getafe,21,4,66,302
15,Osasuna,20,2,69,302
16,Mallorca,20,3,64,301
17,Real Zaragoza,18,2,67,292
18,Sporting Gijon,19,4,63,283
19,Levante,19,2,66,275
20,Racing Santander,17,2,61,273
