R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Racing Santander,26,5,72,446
2,Levante,25,4,67,443
3,Real Sociedad,22,6,63,433
4,Mallorca,22,4,71,404
5,Sporting Gijon,21,5,68,403
6,Granada,23,5,64,390
7,Getafe,22,5,67,387
8,Real Zaragoza,22,5,65,378
9,Malaga,16,4,61,374
10,Osasuna,24,4,70,374
11,Villarreal,23,4,66,374
12,Real Betis,24,4,68,362
13,Sevilla,20,5,64,355
14,Atletico Madrid,18,3,69,353
15,Espanyol,21,4,68,324
16,Real Madrid,17,4,52,314
17,Athletic Bilbao,16,4,58,305
18,Rayo Vallecano,20,4,68,305
19,Valencia,21,4,59,301
20,Barcelona,12,2,53,255
