R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Nuernberg,13%,50%,37%
2,FC Koln,10%,45%,45%
3,Eintracht Frankfurt,9%,49%,42%
4,Bochum,8%,50%,42%
5,Hannover 96,8%,53%,40%
6,Mainz 05,8%,48%,44%
7,Wolfsburg,7%,46%,47%
8,Bayer Leverkusen,7%,54%,39%
9,Hamburger SV,7%,45%,48%
10,Werder Bremen,7%,49%,44%
11,Hoffenheim,7%,44%,49%
12,Borussia Dortmund,6%,45%,49%
13,Borussia M.Gladbach,6%,41%,53%
14,Hertha Berlin,6%,51%,43%
15,Bayern Munich,5%,44%,51%
16,VfB Stuttgart,5%,51%,44%
17,Schalke 04,4%,50%,46%
18,Freiburg,4%,51%,45%
