R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Schalke 04,12%,51%,37%
2,Borussia Dortmund,10%,47%,42%
3,Bayern Munich,9%,50%,41%
4,Wolfsburg,8%,58%,34%
5,Freiburg,8%,45%,47%
6,VfB Stuttgart,8%,49%,43%
7,Werder Bremen,8%,53%,39%
8,Mainz 05,8%,42%,50%
9,FC Koln,8%,35%,57%
10,Bayer Leverkusen,7%,53%,41%
11,Eintracht Frankfurt,7%,43%,50%
12,Hertha Berlin,6%,48%,46%
13,Bochum,5%,39%,56%
14,Nuernberg,5%,48%,47%
15,Hoffenheim,5%,47%,48%
16,Hamburger SV,4%,51%,45%
17,Borussia M.Gladbach,4%,47%,49%
18,Hannover 96,4%,46%,50%
