R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,47,5,15,2,3
2,Wolfsburg,36,8,14,4,2
3,Werder Bremen,34,7,23,6,1
4,Hamburger SV,33,5,14,2,2
5,Bayer Leverkusen,32,8,21,4,0
6,VfB Stuttgart,27,9,12,2,1
7,Hannover 96,26,4,8,2,3
8,Borussia Dortmund,25,8,16,3,2
9,Freiburg,24,2,7,1,1
10,Eintracht Frankfurt,24,5,16,2,0
11,Hoffenheim,24,5,10,5,0
12,Schalke 04,23,7,18,5,0
13,Borussia M.Gladbach,23,4,11,1,4
14,Hertha Berlin,21,4,9,0,0
15,FC Koln,20,0,11,1,1
16,Bochum,17,2,13,0,1
17,Mainz 05,17,5,12,2,0
18,Nuernberg,15,5,11,1,0
