R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bochum,25,2,64,418
2,Borussia M.Gladbach,24,1,67,406
3,Freiburg,23,2,77,393
4,Hertha Berlin,24,1,69,382
5,FC Koln,26,2,67,369
6,Borussia Dortmund,20,2,71,365
7,Wolfsburg,25,2,68,363
8,Schalke 04,19,2,69,360
9,Mainz 05,26,1,76,358
10,Hannover 96,24,2,73,355
11,Eintracht Frankfurt,21,3,71,354
12,Hoffenheim,17,1,65,352
13,Nuernberg,21,2,69,343
14,Bayer Leverkusen,16,2,70,339
15,VfB Stuttgart,21,2,70,323
16,Werder Bremen,19,1,70,302
17,Hamburger SV,19,2,66,301
18,Bayern Munich,15,1,63,284
