R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,17,1,45,635
2,Liverpool,23,1,54,591
3,Chelsea,20,1,52,587
4,Manchester United,17,1,48,510
5,Arsenal,20,1,49,487
6,Leicester,17,1,53,468
7,Tottenham,14,1,55,452
8,Leeds,21,1,58,442
9,Brighton,18,0,60,424
10,Fulham,19,0,56,418
11,Southampton,15,0,54,417
12,Wolverhampton Wanderers,21,1,58,407
13,Everton,18,1,59,397
14,West Ham,21,0,58,347
15,Aston Villa,21,0,63,343
16,Sheffield United,18,0,61,329
17,Crystal Palace,14,0,55,321
18,Burnley,20,0,78,291
19,Newcastle United,17,0,62,289
20,West Bromwich Albion,16,0,64,268
