R,Team,Left Side,Attempts from the middle,Right Side
1,Arsenal,21%,67%,13%
2,Liverpool,20%,65%,15%
3,Chelsea,19%,67%,14%
4,Southampton,19%,67%,14%
5,Manchester United,18%,67%,15%
6,Wolverhampton Wanderers,18%,67%,15%
7,Aston Villa,18%,67%,15%
8,Everton,18%,69%,13%
9,West Bromwich Albion,18%,68%,14%
10,Tottenham,17%,69%,14%
11,Leeds,16%,70%,14%
12,Newcastle United,16%,72%,13%
13,Crystal Palace,16%,71%,14%
14,Brighton,16%,68%,17%
15,West Ham,15%,72%,13%
16,Manchester City,15%,67%,18%
17,Burnley,15%,69%,16%
18,Leicester,14%,74%,12%
19,Fulham,14%,76%,10%
20,Sheffield United,14%,70%,16%
