R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Leicester,13%,55%,32%
2,Fulham,10%,56%,34%
3,Sheffield United,9%,55%,36%
4,Newcastle United,8%,53%,39%
5,Manchester United,8%,56%,36%
6,Wolverhampton Wanderers,8%,60%,33%
7,Liverpool,8%,60%,32%
8,Arsenal,7%,55%,38%
9,Leeds,7%,54%,39%
10,Southampton,7%,63%,30%
11,Crystal Palace,7%,60%,33%
12,West Bromwich Albion,7%,56%,37%
13,Burnley,7%,56%,37%
14,Brighton,7%,55%,38%
15,Tottenham,6%,60%,33%
16,Aston Villa,6%,56%,38%
17,Everton,6%,56%,38%
18,West Ham,6%,53%,41%
19,Manchester City,6%,55%,39%
20,Chelsea,3%,55%,42%
