Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Manchester City,7.4,13.1,8.4,9.5,1.5,7.01
2. Manchester United,11.3,14.5,10.2,11.9,2,6.85
3. Aston Villa,14.2,13.9,10.2,11.6,1.9,6.84
4. Chelsea,8.8,16.1,10.1,11.4,2.1,6.83
5. Liverpool,8.7,13.8,9.1,10.4,1.7,6.82
6. Tottenham,12.8,16.7,9,11.6,1.2,6.81
7. Leicester,9.7,17.9,11.5,10.9,1.9,6.80
8. Leeds,14.7,19.5,10.4,11.4,2,6.77
9. West Ham,12.2,13.5,11.5,9.9,1.9,6.77
10. Everton,13.3,16.8,10.3,10.2,1.7,6.73
11. Arsenal,10.9,12,9.2,9.1,1.6,6.69
12. Wolverhampton Wanderers,11.6,15.5,11.4,11.2,1,6.67
13. Brighton,9.4,16.5,11.2,11.3,1.4,6.65
14. Burnley,15,13.3,10.9,10.1,2.1,6.64
15. Fulham,11.3,15.8,11.5,12.7,1.1,6.63
16. Southampton,11.3,19.1,10.6,11.3,2,6.62
17. Newcastle United,15.1,13.5,9.5,10.2,1.5,6.62
18. Crystal Palace,14.2,16.8,10.4,10.8,1.8,6.61
19. West Bromwich Albion,15.8,15.3,11.4,10.6,2,6.51
20. Sheffield United,14.3,16.7,9.2,12.1,1.9,6.46
