R,Team,Own Third,Middle Third,Opposition Third
1,Leeds,32%,41%,27%
2,Newcastle United,32%,44%,25%
3,Everton,31%,44%,25%
4,West Bromwich Albion,31%,43%,27%
5,Aston Villa,30%,41%,31%
6,Crystal Palace,30%,46%,24%
7,Tottenham,29%,46%,25%
8,Arsenal,28%,43%,29%
9,Leicester,28%,45%,28%
10,Chelsea,28%,44%,29%
11,Southampton,28%,46%,26%
12,West Ham,28%,46%,27%
13,Wolverhampton Wanderers,28%,46%,26%
14,Sheffield United,28%,43%,30%
15,Fulham,28%,43%,27%
16,Brighton,28%,43%,29%
17,Burnley,27%,43%,30%
18,Manchester United,26%,42%,31%
19,Liverpool,23%,44%,34%
20,Manchester City,20%,46%,33%
