Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Manchester City,15.8,5.7,12.8,9.8,7.01
2. Manchester United,13.8,5.6,10.9,10.5,6.85
3. Aston Villa,13.7,4.9,9.7,14.6,6.84
4. Chelsea,14.6,5.5,9.4,9.6,6.83
5. Liverpool,16,5.6,10.7,8.3,6.82
6. Tottenham,11.7,4.6,10.6,12.3,6.81
7. Leicester,12.8,4.9,9.4,11.1,6.80
8. Leeds,13.7,5.2,8.4,10.8,6.77
9. West Ham,12.3,4.3,7.8,9.3,6.77
10. Everton,10.5,3.9,9.5,10.3,6.73
11. Arsenal,12.1,4,7.8,10.5,6.69
12. Wolverhampton Wanderers,12.2,4.1,12.3,10.1,6.67
13. Brighton,12.8,3.8,9.2,9.4,6.65
14. Burnley,10.1,3.4,6.2,10.2,6.64
15. Fulham,11.6,3.6,13.3,9.8,6.63
16. Southampton,11.2,4.4,9,11.1,6.62
17. Newcastle United,10.4,3.7,9.2,11.1,6.62
18. Crystal Palace,9.2,3.5,9.6,11.5,6.61
19. West Bromwich Albion,8.9,2.9,6.9,10.8,6.51
20. Sheffield United,8.5,2.6,7.1,7.7,6.46
