R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Newcastle United,18,2,55,470
2,Everton,18,1,57,469
3,Watford,21,2,60,461
4,Norwich,22,2,55,461
5,Burnley,23,1,66,458
6,West Ham,20,1,54,430
7,Brentford,22,2,62,429
8,Wolverhampton Wanderers,20,2,49,419
9,Tottenham,19,1,53,417
10,Manchester United,17,2,55,409
11,Leicester,20,2,55,407
12,Aston Villa,18,1,57,401
13,Crystal Palace,18,1,60,397
14,Southampton,19,1,59,389
15,Arsenal,16,1,55,386
16,Brighton,17,1,52,362
17,Chelsea,15,2,51,330
18,Leeds,15,3,54,328
19,Liverpool,13,2,65,314
20,Manchester City,10,1,52,276
