R,Team,Left Side,Attempts from the middle,Right Side
1,Southampton,23%,64%,13%
2,Crystal Palace,21%,66%,13%
3,Chelsea,20%,63%,17%
4,Watford,20%,65%,15%
5,Manchester United,20%,62%,19%
6,Everton,20%,66%,14%
7,Leicester,19%,64%,17%
8,Manchester City,19%,66%,15%
9,Aston Villa,18%,66%,16%
10,Newcastle United,18%,67%,15%
11,Leeds,18%,64%,18%
12,Norwich,18%,68%,14%
13,Brighton,18%,69%,13%
14,Arsenal,17%,66%,16%
15,West Ham,16%,66%,18%
16,Burnley,16%,71%,13%
17,Tottenham,16%,69%,15%
18,Wolverhampton Wanderers,15%,65%,19%
19,Brentford,13%,70%,17%
20,Liverpool,12%,74%,15%
