R,Team,Left Side,Middle of the pitch,Right Side
1,Leicester,42%,23%,35%
2,Southampton,42%,24%,34%
3,Aston Villa,42%,27%,31%
4,Newcastle United,41%,24%,35%
5,Manchester United,41%,25%,33%
6,West Ham,41%,22%,37%
7,Crystal Palace,41%,24%,35%
8,Brighton,40%,23%,37%
9,Brentford,40%,27%,33%
10,Everton,39%,24%,37%
11,Watford,39%,22%,39%
12,Norwich,39%,23%,39%
13,Manchester City,39%,26%,35%
14,Leeds,38%,23%,39%
15,Burnley,38%,26%,36%
16,Arsenal,35%,26%,38%
17,Chelsea,34%,26%,40%
18,Wolverhampton Wanderers,34%,24%,42%
19,Liverpool,34%,27%,38%
20,Tottenham,33%,27%,40%
