R,Team,Own Third,Middle Third,Opposition Third
1,Norwich,34%,41%,24%
2,Leicester,32%,43%,25%
3,Wolverhampton Wanderers,32%,44%,25%
4,Brentford,32%,41%,26%
5,Leeds,31%,41%,28%
6,Watford,31%,42%,27%
7,Crystal Palace,31%,43%,25%
8,Newcastle United,30%,43%,26%
9,Tottenham,29%,44%,26%
10,Brighton,29%,40%,30%
11,Burnley,29%,41%,31%
12,West Ham,28%,43%,29%
13,Aston Villa,28%,42%,30%
14,Everton,28%,43%,29%
15,Manchester United,28%,43%,29%
16,Arsenal,27%,41%,32%
17,Southampton,27%,42%,30%
18,Chelsea,27%,42%,30%
19,Liverpool,22%,42%,35%
20,Manchester City,20%,43%,38%
