R,Team,Fouls,Unprofessional,Dive,Other
1,Leeds,69,8,0,15
2,Newcastle United,54,8,0,14
3,Manchester United,52,1,0,14
4,Brighton,52,6,0,12
5,Aston Villa,51,9,0,11
6,Southampton,49,2,0,10
7,Watford,48,3,0,7
8,Everton,48,8,0,15
9,Burnley,45,4,0,10
10,Tottenham,44,8,0,7
11,Brentford,44,3,0,10
12,Crystal Palace,41,7,0,6
13,Chelsea,40,6,0,6
14,Wolverhampton Wanderers,38,5,0,14
15,Arsenal,36,2,0,14
16,West Ham,36,4,0,4
17,Norwich,36,4,0,9
18,Leicester,35,2,0,8
19,Liverpool,34,2,0,6
20,Manchester City,27,4,0,6
