R,Team,Left Side,Attempts from the middle,Right Side
1,Arsenal,25%,62%,13%
2,Liverpool,24%,61%,15%
3,Manchester City,24%,60%,15%
4,Brentford,21%,64%,16%
5,Chelsea,20%,66%,14%
6,Newcastle United,20%,64%,16%
7,Leeds,20%,68%,12%
8,Aston Villa,18%,64%,17%
9,Everton,18%,68%,14%
10,Tottenham,17%,67%,16%
11,Norwich,17%,67%,16%
12,Burnley,17%,64%,19%
13,Brighton,17%,65%,18%
14,West Ham,16%,70%,14%
15,Crystal Palace,16%,66%,18%
16,Southampton,15%,69%,16%
17,Manchester United,15%,68%,16%
18,Watford,15%,68%,16%
19,Wolverhampton Wanderers,15%,68%,18%
20,Leicester,14%,72%,14%
