R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Norwich,44,1,11,8,2
2,Leeds,41,5,16,5,1
3,Watford,41,2,12,4,3
4,Southampton,37,0,14,2,1
5,Newcastle United,36,2,10,5,2
6,Manchester United,34,3,6,2,3
7,West Ham,31,1,8,2,1
8,Everton,31,4,13,1,4
9,Brentford,31,6,8,2,2
10,Burnley,31,1,9,3,1
11,Arsenal,28,1,6,4,0
12,Leicester,24,4,16,6,1
13,Aston Villa,24,6,11,3,2
14,Brighton,24,4,9,3,0
15,Tottenham,23,2,10,2,1
16,Crystal Palace,23,0,13,3,2
17,Manchester City,17,1,1,1,0
18,Wolverhampton Wanderers,16,0,4,7,1
19,Liverpool,14,1,6,0,1
20,Chelsea,13,3,4,6,1
