R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Liverpool,57,4,15,7,0
2,Manchester City,49,2,16,6,2
3,Chelsea,47,0,11,7,1
4,Manchester United,39,4,6,2,1
5,Tottenham,38,4,5,3,6
6,Leicester,34,3,8,2,0
7,Crystal Palace,30,2,6,5,0
8,Arsenal,28,6,11,3,1
9,West Ham,28,6,13,3,2
10,Leeds,26,0,8,4,0
11,Aston Villa,23,3,11,3,2
12,Watford,22,2,5,1,0
13,Brentford,20,1,13,6,1
14,Southampton,19,2,12,3,2
15,Everton,19,3,6,5,1
16,Wolverhampton Wanderers,19,1,9,1,3
17,Newcastle United,18,3,12,2,2
18,Brighton,18,0,7,3,1
19,Burnley,16,0,10,0,2
20,Norwich,13,1,3,3,2
