Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Manchester City,6.3,12.9,7.5,8.8,1.9,7.09
2. Liverpool,8,14.1,9.5,9.6,1.7,7.07
3. Chelsea,9.4,16.2,9.3,10.7,1.8,6.93
4. Tottenham,13.2,16.1,9,10.3,1.7,6.83
5. West Ham,13.7,14.3,10.1,8.5,1.6,6.76
6. Manchester United,13.4,15.6,8.6,10.3,2.2,6.73
7. Wolverhampton Wanderers,12.6,17.7,10.4,10.4,1.7,6.73
8. Arsenal,11.3,14.5,8,9.5,1.9,6.72
9. Crystal Palace,12,17.6,8.9,10.7,1.6,6.70
10. Leicester,15.5,18,10.3,9.3,1.7,6.68
11. Aston Villa,12.3,16.6,8.8,10.2,1.3,6.67
12. Southampton,12.7,15.7,11.8,11,1,6.66
13. Burnley,16.2,15.6,11.4,10.2,2.8,6.66
14. Brighton,12.3,18,9.6,10.5,1.4,6.65
15. Brentford,13.4,16.7,10.3,9.9,1.9,6.64
16. Newcastle United,13.8,17.2,9.7,10.3,1.6,6.59
17. Everton,13.4,18.8,9.8,9.9,1.6,6.59
18. Leeds,15,20.8,10.7,12.2,1.8,6.57
19. Watford,14.4,16,11.5,12.1,1.4,6.54
20. Norwich,16.5,16,9.9,9.4,1.6,6.46
