Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Manchester City,18.2,5.5,1.8,10.9,7.09
2. Liverpool,18.6,5.9,1.8,10.9,7.07
3. Chelsea,14.6,5.1,1,8.5,6.93
4. Tottenham,12.7,4.4,1.5,6.8,6.83
5. West Ham,12.4,4.1,1.5,6.8,6.76
6. Manchester United,13.8,4.9,0.8,8.1,6.73
7. Wolverhampton Wanderers,10.5,4.3,0.6,5.6,6.73
8. Arsenal,15.5,5.7,1.4,8.4,6.72
9. Crystal Palace,10.5,2.9,0.9,6.7,6.70
10. Leicester,11.6,4.4,0.7,6.5,6.68
11. Aston Villa,12,4.6,1.1,6.4,6.67
12. Southampton,12.9,4.8,1.2,6.9,6.66
13. Burnley,10.4,3.8,1.2,5.3,6.66
14. Brighton,12.5,5.2,0.5,6.9,6.65
15. Brentford,11.1,3.2,1.3,6.6,6.64
16. Newcastle United,12.2,4.9,0.8,6.4,6.59
17. Everton,11.8,4.3,0.7,6.8,6.59
18. Leeds,13.4,5.5,1,6.9,6.57
19. Watford,10.8,4.2,0.6,6,6.54
20. Norwich,10.1,4.7,0.5,4.9,6.46
