R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Norwich,25,3,64,432
2,Reading,25,3,65,430
3,Sunderland,24,3,59,422
4,Fulham,28,2,60,417
5,West Ham,21,3,59,408
6,Queens Park Rangers,25,2,60,403
7,West Bromwich Albion,28,1,67,401
8,Aston Villa,28,3,62,399
9,Stoke,23,3,63,392
10,Swansea,21,2,56,378
11,Newcastle United,22,3,60,364
12,Chelsea,22,2,58,355
13,Arsenal,19,2,60,353
14,Southampton,22,2,67,353
15,Manchester United,21,1,59,352
16,Wigan,22,3,57,348
17,Tottenham,20,3,62,345
18,Liverpool,18,1,59,342
19,Everton,21,3,60,333
20,Manchester City,20,1,61,328
