R,Team,Fouls,Unprofessional,Dive,Other
1,Stoke,65,1,1,18
2,Newcastle United,54,4,1,19
3,Aston Villa,52,3,1,21
4,Sunderland,51,1,1,13
5,Wigan,50,0,1,17
6,West Ham,49,3,1,22
7,Everton,46,3,1,14
8,Manchester United,44,3,1,10
9,Swansea,43,1,2,16
10,West Bromwich Albion,41,8,1,17
11,Liverpool,40,1,2,13
12,Norwich,40,0,1,20
13,Manchester City,39,7,1,18
14,Fulham,39,1,1,10
15,Arsenal,38,2,1,8
16,Queens Park Rangers,37,4,1,21
17,Tottenham,35,1,5,16
18,Reading,34,1,1,10
19,Chelsea,32,2,6,16
20,Southampton,29,4,2,10
