Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Arsenal,10.6,19.7,16.7,10.1,2.1,7.03
2. Manchester United,12.8,19.2,13.6,9.9,2.5,7.03
3. Liverpool,11.4,20.9,13.8,10.6,2.9,6.99
4. Tottenham,9.7,19.6,19,10.3,2,6.98
5. Chelsea,12.2,18.7,13.2,10.5,2.1,6.96
6. Manchester City,10.4,17.9,12.9,12.4,2,6.96
7. Everton,11.9,18.9,15.6,11.7,2.6,6.93
8. Swansea,14.9,18,18.3,10.8,2.3,6.83
9. Fulham,16.8,17.9,19.6,10.9,1.9,6.82
10. Aston Villa,16.7,19.4,20.3,12,2.6,6.80
11. Southampton,11.8,21.6,20.5,10.8,2.3,6.79
12. West Ham,16.4,19.2,12.1,12.4,2.2,6.79
13. Sunderland,16.7,20.6,15.3,12,1.8,6.74
14. Queens Park Rangers,15.8,21.5,17.4,10.7,2.8,6.74
15. Newcastle United,13.4,19.2,12.5,12.3,2.2,6.72
16. Stoke,14.3,19.1,13.2,12.8,1.9,6.72
17. West Bromwich Albion,15.6,18.4,9.9,11.5,2.6,6.71
18. Wigan,14,18.7,18.3,11.9,2.2,6.68
19. Norwich,14.1,17.8,14.2,11.5,2.6,6.66
20. Reading,18.6,15.8,14.7,10.4,2.1,6.64
