R,Team,Left Side,Middle of the pitch,Right Side
1,Everton,42%,27%,31%
2,Wigan,42%,28%,30%
3,Sunderland,38%,25%,37%
4,West Ham,38%,27%,35%
5,Aston Villa,37%,27%,36%
6,Manchester City,37%,27%,36%
7,Reading,37%,24%,39%
8,Tottenham,37%,28%,34%
9,West Bromwich Albion,36%,34%,31%
10,Southampton,35%,29%,36%
11,Newcastle United,35%,27%,38%
12,Liverpool,35%,28%,37%
13,Arsenal,34%,28%,37%
14,Chelsea,33%,31%,36%
15,Manchester United,32%,28%,40%
16,Stoke,31%,28%,41%
17,Fulham,31%,31%,38%
18,Norwich,31%,28%,42%
19,Queens Park Rangers,29%,32%,39%
20,Swansea,28%,32%,40%
