R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Newcastle United,10%,53%,37%
2,Queens Park Rangers,9%,48%,43%
3,Wigan,9%,46%,45%
4,Manchester United,8%,42%,50%
5,Tottenham,8%,51%,40%
6,West Bromwich Albion,8%,51%,41%
7,Arsenal,7%,48%,44%
8,Southampton,7%,57%,36%
9,Everton,7%,47%,46%
10,Swansea,7%,54%,40%
11,Fulham,7%,49%,44%
12,Aston Villa,6%,50%,44%
13,Sunderland,6%,53%,41%
14,Reading,6%,54%,40%
15,Manchester City,6%,47%,47%
16,Stoke,6%,43%,51%
17,Chelsea,5%,52%,43%
18,West Ham,5%,44%,50%
19,Liverpool,5%,42%,53%
20,Norwich,5%,52%,43%
