Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Arsenal,69,15.7,425,56.2,85.2,16.8,7.03
2. Manchester United,85,14.7,571,54.9,85.2,14.2,7.03
3. Liverpool,71,19.4,542,55.1,83.9,12.7,6.99
4. Tottenham,62,17.9,552,52.8,82.5,14.6,6.98
5. Chelsea,74,16.5,513,52.9,82.7,13.5,6.96
6. Manchester City,66,17.3,623,56.0,84.6,15.8,6.96
7. Everton,53,16.7,593,51.9,79.0,18.6,6.93
8. Swansea,48,13.3,582,54.4,84.4,12.9,6.83
9. Fulham,45,12.1,483,49.6,81.4,15.3,6.82
10. Aston Villa,53,11.5,713,47.1,77.2,18.9,6.80
11. Southampton,51,13.6,432,52.2,77.3,16.4,6.79
12. West Ham,45,13,741,45.1,73.6,21.1,6.79
13. Sunderland,42,11,613,44.7,75.2,17.1,6.74
14. Queens Park Rangers,34,13.2,593,46.9,76.2,15.3,6.74
15. Newcastle United,45,14,714,49.3,79.1,18.1,6.72
16. Stoke,37,10.3,774,44.5,69.9,28.9,6.72
17. West Bromwich Albion,53,13.3,634,46.3,77.7,15.7,6.71
18. Wigan,48,13.2,672,52.9,82.1,10.3,6.68
19. Norwich,41,10.9,601,44.4,73.0,17,6.66
20. Reading,41,10.3,451,42.8,69.2,18.4,6.64
