Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Arsenal,15.7,5.4,10.7,10.8,7.03
2. Manchester United,14.7,5.6,6.4,11.1,7.03
3. Liverpool,19.4,6.1,9.9,9.4,6.99
4. Tottenham,17.9,6.3,8,10.3,6.98
5. Chelsea,16.5,5.6,7.3,11.9,6.96
6. Manchester City,17.3,6.1,7.7,9.2,6.96
7. Everton,16.7,5.4,5.3,13.1,6.93
8. Swansea,13.3,4.4,5.2,11,6.83
9. Fulham,12.1,4.2,6.2,10.8,6.82
10. Aston Villa,11.5,3.7,6.6,9.1,6.80
11. Southampton,13.6,4.4,6.3,9.4,6.79
12. West Ham,13,4.2,5,9.6,6.79
13. Sunderland,11,3.7,6.2,12.1,6.74
14. Queens Park Rangers,13.2,3.9,9.2,11.4,6.74
15. Newcastle United,14,4.6,8.9,10.6,6.72
16. Stoke,10.3,3,4.2,9.4,6.72
17. West Bromwich Albion,13.3,4.5,5.5,10.3,6.71
18. Wigan,13.2,4.5,7,11.6,6.68
19. Norwich,10.9,3.5,4.8,10.5,6.66
20. Reading,10.3,3.4,4.4,11.3,6.64
