R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,West Ham,11%,57%,32%
2,Stoke,11%,48%,41%
3,Reading,10%,51%,39%
4,Norwich,10%,43%,47%
5,Manchester United,9%,57%,34%
6,Everton,8%,53%,39%
7,West Bromwich Albion,8%,44%,47%
8,Wigan,8%,47%,46%
9,Arsenal,7%,53%,41%
10,Sunderland,7%,45%,48%
11,Fulham,7%,46%,47%
12,Manchester City,7%,56%,37%
13,Southampton,6%,47%,47%
14,Chelsea,5%,48%,47%
15,Tottenham,5%,41%,54%
16,Aston Villa,5%,52%,43%
17,Liverpool,5%,52%,43%
18,Newcastle United,4%,46%,50%
19,Queens Park Rangers,4%,41%,56%
20,Swansea,4%,57%,39%
