R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Reading,54,5,10,4,0
2,Newcastle United,45,3,14,4,2
3,Wigan,44,5,15,6,3
4,Norwich,42,4,5,4,3
5,Aston Villa,41,4,11,7,6
6,Fulham,39,4,14,3,0
7,Queens Park Rangers,38,2,12,3,5
8,West Ham,37,5,8,2,1
9,Sunderland,34,4,8,4,4
10,Southampton,33,2,18,2,5
11,West Bromwich Albion,31,6,12,5,3
12,Tottenham,29,0,13,3,1
13,Chelsea,28,2,7,0,2
14,Manchester United,28,3,8,0,4
15,Swansea,28,1,17,4,1
16,Everton,25,1,11,2,1
17,Liverpool,23,3,12,4,1
18,Arsenal,21,2,10,4,0
19,Stoke,20,3,12,6,4
20,Manchester City,18,3,10,1,2
