R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Arsenal,25,6,54,510
2,Manchester City,23,4,51,488
3,Swansea,21,2,62,477
4,Liverpool,21,3,61,475
5,Manchester United,25,3,59,471
6,Chelsea,23,1,60,438
7,Wigan,21,1,62,424
8,Southampton,24,6,55,396
9,Fulham,19,1,66,395
10,Tottenham,23,3,62,390
11,Everton,26,1,64,369
12,West Bromwich Albion,21,1,61,334
13,Aston Villa,18,2,62,328
14,Newcastle United,25,2,69,327
15,Queens Park Rangers,18,1,59,315
16,Norwich,22,1,64,302
17,Sunderland,23,1,61,296
18,West Ham,27,1,62,284
19,Stoke,23,1,63,274
20,Reading,27,1,61,265
