R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Hamburger SV,8%,59%,33%
2,Darmstadt,8%,56%,36%
3,Bayer Leverkusen,7%,61%,32%
4,Werder Bremen,7%,55%,39%
5,Eintracht Frankfurt,7%,63%,30%
6,Freiburg,7%,51%,42%
7,Augsburg,7%,52%,41%
8,RB Leipzig,7%,55%,38%
9,Hoffenheim,7%,54%,39%
10,Schalke 04,6%,55%,39%
11,Borussia M.Gladbach,6%,54%,40%
12,Mainz 05,6%,52%,43%
13,FC Koln,6%,54%,41%
14,Hertha Berlin,6%,58%,37%
15,Wolfsburg,5%,55%,40%
16,Bayern Munich,5%,51%,43%
17,Borussia Dortmund,5%,55%,39%
18,Ingolstadt,5%,54%,41%
