R,Team,Left Side,Attempts from the middle,Right Side
1,Freiburg,24%,59%,17%
2,Hamburger SV,21%,63%,16%
3,Mainz 05,21%,67%,12%
4,Augsburg,21%,59%,19%
5,Bayer Leverkusen,20%,64%,17%
6,Schalke 04,20%,66%,14%
7,Hoffenheim,20%,64%,16%
8,Borussia M.Gladbach,19%,66%,16%
9,Darmstadt,19%,62%,19%
10,Werder Bremen,19%,63%,18%
11,RB Leipzig,18%,64%,18%
12,Wolfsburg,17%,67%,16%
13,Borussia Dortmund,17%,71%,13%
14,Eintracht Frankfurt,17%,67%,15%
15,FC Koln,17%,65%,17%
16,Hertha Berlin,15%,71%,14%
17,Bayern Munich,14%,68%,18%
18,Ingolstadt,10%,70%,20%
