R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,20,0,61,656
2,Borussia Dortmund,14,1,57,527
3,Borussia M.Gladbach,12,1,62,479
4,Hoffenheim,12,1,61,467
5,Bayer Leverkusen,12,1,65,428
6,RB Leipzig,13,1,67,404
7,Schalke 04,16,0,72,401
8,Hertha Berlin,13,0,74,388
9,Wolfsburg,16,0,75,387
10,Eintracht Frankfurt,15,0,70,365
11,Freiburg,10,0,75,351
12,Werder Bremen,11,0,73,332
13,FC Koln,12,1,69,318
14,Mainz 05,15,0,70,304
15,Augsburg,12,0,75,300
16,Ingolstadt,16,0,83,293
17,Hamburger SV,15,0,71,279
18,Darmstadt,13,0,75,243
