Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,89,18.3,470,64.5,87.3,16.4,7.23
2. RB Leipzig,66,13,662,51.9,74.8,24.1,7.00
3. Borussia Dortmund,72,15.6,552,58.6,82.5,17.3,6.97
4. Hoffenheim,64,14.6,631,54.6,82.7,15.1,6.95
5. FC Koln,51,10.6,721,45.5,74.2,21.8,6.91
6. Schalke 04,45,13,693,51.5,79.2,20.3,6.86
7. Borussia M.Gladbach,45,12.1,462,52.6,81.1,20.2,6.83
8. Bayer Leverkusen,53,13.1,504,52.8,78.1,19.6,6.82
9. Werder Bremen,61,11.1,672,46.2,74.5,20,6.79
10. Hertha Berlin,43,10.2,633,48.6,77.0,19.7,6.75
11. Wolfsburg,34,12.7,653,50.8,78.4,19.5,6.73
12. Eintracht Frankfurt,36,11.2,846,49.9,75.6,19.4,6.73
13. Augsburg,35,10.9,673,44.0,72.2,20.6,6.72
14. Mainz 05,44,12.2,677,47.0,70.4,21.9,6.70
15. Ingolstadt,36,13.4,696,46.9,66.5,28.9,6.69
16. Freiburg,42,12,561,47.4,73.2,23,6.68
17. Hamburger SV,33,10.6,735,45.7,66.7,26.2,6.67
18. Darmstadt,28,10,675,41.2,68.3,21.9,6.58
