R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,57,10,16,5,1
2,Borussia Dortmund,48,7,11,5,1
3,Hoffenheim,38,5,16,5,0
4,RB Leipzig,37,11,11,3,4
5,Werder Bremen,34,8,13,6,0
6,Bayer Leverkusen,33,5,11,4,0
7,Schalke 04,31,6,6,2,0
8,Borussia M.Gladbach,30,5,8,1,1
9,FC Koln,29,9,8,3,2
10,Freiburg,25,3,8,6,0
11,Eintracht Frankfurt,24,3,6,2,1
12,Hertha Berlin,24,1,12,5,1
13,Hamburger SV,20,6,6,0,1
14,Mainz 05,19,4,13,7,1
15,Augsburg,18,7,7,3,0
16,Wolfsburg,15,3,11,3,2
17,Ingolstadt,14,2,13,6,1
18,Darmstadt,13,2,8,5,0
