R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Hamburger SV,39,8,8,5,1
2,Werder Bremen,39,4,12,8,1
3,Darmstadt,37,6,12,6,2
4,Ingolstadt,36,5,8,7,1
5,Freiburg,35,8,13,4,0
6,Wolfsburg,32,4,13,2,1
7,Hertha Berlin,30,6,6,4,1
8,Mainz 05,30,9,13,3,0
9,Augsburg,29,6,11,4,1
10,Bayer Leverkusen,28,4,19,3,1
11,Borussia M.Gladbach,28,4,13,4,0
12,FC Koln,26,1,10,4,1
13,Eintracht Frankfurt,25,4,10,3,1
14,Borussia Dortmund,23,5,9,2,1
15,Hoffenheim,22,4,8,1,2
16,Schalke 04,20,8,5,6,1
17,Bayern Munich,16,2,2,2,0
18,RB Leipzig,14,9,12,3,1
