R,Team,Own Third,Middle Third,Opposition Third
1,Hoffenheim,31%,45%,25%
2,Darmstadt,30%,46%,25%
3,FC Koln,29%,48%,23%
4,Freiburg,29%,46%,26%
5,Werder Bremen,28%,48%,23%
6,Augsburg,28%,49%,24%
7,Hertha Berlin,27%,49%,23%
8,Schalke 04,27%,49%,25%
9,Mainz 05,27%,44%,29%
10,Wolfsburg,26%,47%,26%
11,Hamburger SV,26%,46%,28%
12,Borussia M.Gladbach,26%,49%,25%
13,Bayer Leverkusen,24%,46%,29%
14,Borussia Dortmund,24%,48%,27%
15,Eintracht Frankfurt,24%,49%,27%
16,Ingolstadt,24%,43%,32%
17,RB Leipzig,24%,49%,28%
18,Bayern Munich,21%,46%,32%
