R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Tottenham,61,3,13,7,2
2,Arsenal,55,2,12,4,4
3,Liverpool,55,2,13,7,1
4,Chelsea,52,7,22,2,2
5,Manchester City,51,6,11,7,5
6,Manchester United,41,3,7,3,0
7,Everton,41,2,12,3,4
8,Bournemouth,32,2,12,7,2
9,Crystal Palace,32,0,12,4,2
10,Southampton,29,0,7,3,2
11,Leicester,28,4,10,4,2
12,Watford,25,0,11,3,1
13,West Ham,24,3,16,3,1
14,Swansea,24,1,17,3,0
15,Stoke,24,0,9,4,4
16,Burnley,19,2,12,6,0
17,West Bromwich Albion,19,3,20,1,0
18,Sunderland,18,0,5,5,1
19,Hull,16,3,14,3,1
20,Middlesbrough,14,3,7,2,1
