R,Team,Left Side,Attempts from the middle,Right Side
1,Burnley,22%,64%,14%
2,Leicester,21%,62%,17%
3,Middlesbrough,21%,66%,13%
4,Stoke,20%,63%,17%
5,Arsenal,19%,66%,15%
6,Manchester United,19%,65%,16%
7,Watford,19%,64%,17%
8,Chelsea,18%,63%,19%
9,Southampton,18%,68%,14%
10,Sunderland,18%,66%,17%
11,Tottenham,18%,65%,17%
12,Bournemouth,18%,67%,15%
13,Swansea,18%,68%,14%
14,West Bromwich Albion,18%,66%,16%
15,Everton,17%,67%,16%
16,Crystal Palace,17%,63%,20%
17,West Ham,17%,65%,19%
18,Manchester City,17%,65%,18%
19,Hull,16%,68%,16%
20,Liverpool,13%,71%,16%
