R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,West Ham,47,2,10,5,0
2,Sunderland,46,3,14,4,2
3,Bournemouth,44,5,11,2,5
4,Swansea,44,5,10,6,5
5,Leicester,42,0,15,4,2
6,Watford,42,4,17,3,2
7,Hull,42,1,21,11,5
8,West Bromwich Albion,39,0,8,3,1
9,Crystal Palace,36,5,20,2,0
10,Stoke,34,2,14,1,5
11,Burnley,34,3,12,4,2
12,Middlesbrough,33,3,13,4,0
13,Everton,26,2,12,3,1
14,Liverpool,26,1,12,3,0
15,Arsenal,25,2,6,10,1
16,Southampton,23,2,17,6,0
17,Manchester City,23,4,9,2,1
18,Chelsea,22,1,7,2,1
19,Manchester United,17,0,7,4,1
20,Tottenham,15,1,7,2,1
