R,Team,Left Side,Attempts from the middle,Right Side
1,Watford,24%,61%,15%
2,Manchester United,23%,68%,9%
3,Tottenham,22%,59%,19%
4,Arsenal,20%,65%,15%
5,Southampton,19%,62%,18%
6,Everton,19%,62%,18%
7,Manchester City,19%,66%,15%
8,Leicester,18%,66%,16%
9,Liverpool,18%,67%,15%
10,Sunderland,18%,66%,16%
11,West Ham,18%,67%,14%
12,Bournemouth,18%,66%,16%
13,Chelsea,17%,63%,21%
14,Middlesbrough,17%,66%,17%
15,Crystal Palace,17%,69%,14%
16,Hull,17%,66%,17%
17,Burnley,16%,66%,18%
18,Swansea,16%,69%,15%
19,Stoke,14%,69%,17%
20,West Bromwich Albion,14%,70%,16%
