R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,West Bromwich Albion,23,1,75,476
2,Sunderland,24,2,64,442
3,Hull,23,2,65,439
4,Leicester,23,1,74,438
5,Burnley,24,2,78,432
6,Swansea,20,2,70,414
7,Middlesbrough,22,2,65,408
8,West Ham,19,1,68,394
9,Stoke,20,2,66,389
10,Chelsea,17,1,66,375
11,Watford,23,2,66,375
12,Crystal Palace,22,1,70,375
13,Everton,20,2,65,367
14,Bournemouth,21,2,69,363
15,Southampton,18,1,66,348
16,Manchester United,16,1,67,345
17,Arsenal,20,1,69,326
18,Liverpool,15,1,73,289
19,Tottenham,15,1,73,276
20,Manchester City,14,1,69,255
