R,Team,Left Side,Middle of the pitch,Right Side
1,Watford,40%,29%,31%
2,Southampton,39%,26%,35%
3,Manchester United,39%,28%,33%
4,Leicester,38%,26%,36%
5,Tottenham,38%,29%,33%
6,Sunderland,37%,26%,37%
7,Crystal Palace,37%,28%,35%
8,West Ham,37%,29%,34%
9,Bournemouth,37%,26%,38%
10,Arsenal,35%,32%,32%
11,Chelsea,35%,31%,35%
12,Liverpool,35%,29%,36%
13,Stoke,35%,29%,36%
14,Burnley,35%,32%,33%
15,West Bromwich Albion,35%,27%,38%
16,Manchester City,35%,29%,36%
17,Hull,34%,27%,39%
18,Swansea,33%,26%,42%
19,Middlesbrough,32%,30%,38%
20,Everton,32%,28%,40%
