R,Team,Fouls,Unprofessional,Dive,Other
1,Sunderland,66,0,0,19
2,Watford,62,6,0,24
3,West Ham,61,3,0,23
4,Burnley,61,0,0,7
5,West Bromwich Albion,61,5,0,14
6,Leicester,56,1,0,16
7,Middlesbrough,56,3,0,20
8,Everton,56,4,0,15
9,Manchester United,53,5,0,23
10,Hull,53,1,0,18
11,Stoke,52,6,0,15
12,Chelsea,51,4,0,17
13,Crystal Palace,50,5,0,22
14,Tottenham,50,3,0,9
15,Arsenal,48,1,0,22
16,Swansea,48,1,0,7
17,Manchester City,47,5,0,23
18,Southampton,44,2,0,16
19,Bournemouth,35,3,0,19
20,Liverpool,33,4,0,17
