R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Stoke,10%,52%,38%
2,West Bromwich Albion,10%,51%,40%
3,Leicester,8%,50%,42%
4,West Ham,8%,45%,46%
5,Crystal Palace,8%,55%,37%
6,Manchester City,8%,54%,38%
7,Arsenal,7%,60%,33%
8,Middlesbrough,7%,50%,43%
9,Burnley,7%,47%,46%
10,Everton,7%,54%,39%
11,Manchester United,7%,51%,42%
12,Swansea,7%,54%,39%
13,Hull,7%,52%,41%
14,Tottenham,7%,46%,47%
15,Southampton,6%,56%,38%
16,Sunderland,6%,51%,43%
17,Chelsea,5%,58%,37%
18,Liverpool,5%,55%,40%
19,Watford,5%,50%,45%
20,Bournemouth,5%,51%,44%
