R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,AC Milan,21,7,71,465
2,Inter,20,6,63,456
3,Lazio,25,5,61,394
4,Roma,23,5,63,390
5,Palermo FC,19,7,55,386
6,Bari,18,4,73,381
7,Napoli,28,4,69,378
8,Bologna,22,4,61,373
9,Fiorentina,27,4,58,366
10,Juventus,28,3,58,354
11,Genoa,27,4,64,351
12,Udinese,24,6,65,345
13,Cagliari,26,5,61,342
14,Parma Calcio 1913,30,5,63,340
15,Catania,22,5,60,326
16,Cesena,23,5,69,320
17,Chievo,29,4,65,318
18,Sampdoria,27,5,66,315
19,Brescia,25,5,68,303
20,Lecce,24,4,68,282
