R,Team,Left Side,Attempts from the middle,Right Side
1,Juventus,24%,60%,16%
2,Lazio,23%,60%,17%
3,Lecce,23%,60%,17%
4,Brescia,22%,61%,17%
5,Roma,21%,57%,22%
6,Chievo,21%,63%,17%
7,Sampdoria,21%,61%,18%
8,Bologna,20%,60%,20%
9,AC Milan,20%,61%,19%
10,Parma Calcio 1913,20%,63%,18%
11,Genoa,20%,60%,20%
12,Catania,20%,64%,16%
13,Cesena,19%,63%,18%
14,Udinese,19%,63%,18%
15,Napoli,19%,64%,17%
16,Palermo FC,19%,62%,19%
17,Fiorentina,18%,63%,18%
18,Cagliari,18%,66%,16%
19,Inter,17%,63%,20%
20,Bari,16%,64%,20%
