R,Team,Own Third,Middle Third,Opposition Third
1,Bari,31%,46%,23%
2,Brescia,30%,44%,26%
3,Cesena,29%,44%,27%
4,Palermo FC,29%,43%,28%
5,Fiorentina,28%,45%,28%
6,Udinese,28%,45%,27%
7,Sampdoria,28%,46%,27%
8,Bologna,27%,48%,26%
9,Lazio,27%,48%,26%
10,Cagliari,27%,47%,25%
11,Roma,27%,46%,28%
12,Lecce,27%,44%,28%
13,Genoa,27%,44%,30%
14,Chievo,27%,46%,27%
15,Juventus,26%,45%,28%
16,Parma Calcio 1913,26%,46%,27%
17,Catania,26%,47%,26%
18,Inter,25%,46%,28%
19,AC Milan,25%,45%,29%
20,Napoli,25%,46%,29%
