R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Swansea,9%,52%,39%
2,Southampton,8%,51%,41%
3,Liverpool,8%,50%,41%
4,Stoke,8%,52%,41%
5,Bournemouth,8%,51%,40%
6,Arsenal,7%,57%,37%
7,Leicester,7%,51%,42%
8,Chelsea,7%,48%,45%
9,Middlesbrough,7%,54%,39%
10,Sunderland,7%,52%,41%
11,Manchester United,7%,46%,47%
12,West Ham,7%,58%,35%
13,Manchester City,7%,53%,40%
14,West Bromwich Albion,7%,50%,43%
15,Hull,7%,52%,41%
16,Everton,6%,54%,40%
17,Crystal Palace,6%,55%,39%
18,Watford,6%,51%,43%
19,Burnley,6%,49%,45%
20,Tottenham,5%,56%,39%
