R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,21,3,53,548
2,Liverpool,21,2,68,524
3,Arsenal,18,3,53,515
4,Manchester United,23,3,65,471
5,Chelsea,18,3,63,470
6,Tottenham,20,1,72,464
7,Southampton,25,2,62,421
8,Bournemouth,17,1,66,391
9,Everton,20,1,79,388
10,Swansea,23,0,69,361
11,Hull,20,1,71,344
12,Middlesbrough,19,1,76,342
13,West Ham,20,1,70,332
14,Stoke,19,1,67,320
15,Watford,18,1,71,304
16,Leicester,19,1,75,289
17,Crystal Palace,23,1,73,288
18,Sunderland,16,1,69,260
19,Burnley,17,1,85,250
20,West Bromwich Albion,20,1,70,243
