R,Team,Own Third,Middle Third,Opposition Third
1,Hull,32%,45%,23%
2,Sunderland,31%,43%,26%
3,Middlesbrough,31%,46%,23%
4,West Bromwich Albion,31%,43%,26%
5,Crystal Palace,30%,41%,29%
6,Watford,30%,43%,28%
7,Burnley,30%,43%,27%
8,Bournemouth,30%,43%,28%
9,Stoke,29%,45%,27%
10,Everton,29%,43%,28%
11,Leicester,28%,45%,27%
12,Swansea,28%,45%,27%
13,West Ham,27%,47%,27%
14,Arsenal,26%,43%,32%
15,Chelsea,26%,44%,29%
16,Southampton,26%,46%,28%
17,Manchester United,25%,45%,31%
18,Tottenham,25%,43%,32%
19,Liverpool,23%,45%,32%
20,Manchester City,23%,44%,33%
