Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Chelsea,15.3,5.7,0.8,8.8,7.05
2. Tottenham,17.6,8.2,1.2,8.2,7.04
3. Manchester City,16.7,6.3,1.3,9,7.01
4. Manchester United,15.6,6.5,1.2,7.9,6.99
5. Arsenal,14.9,4.9,1.1,8.9,6.99
6. Liverpool,16.8,6.8,0.8,9.2,6.98
7. Everton,13.2,5.2,0.9,7.1,6.91
8. West Ham,13.1,6.1,1.1,6,6.76
9. Southampton,14.5,5.5,0.9,8.1,6.76
10. Stoke,11.2,4.2,1.1,5.8,6.76
11. Crystal Palace,11.6,4.3,0.9,6.4,6.76
12. Bournemouth,11.9,5.3,0.6,6,6.74
13. Middlesbrough,9.2,3.9,0.6,4.7,6.74
14. Burnley,10.3,4.7,0.7,4.9,6.72
15. Leicester,11.4,4.8,0.9,5.7,6.71
16. West Bromwich Albion,10.5,4.2,1,5.3,6.69
17. Swansea,10.7,4.2,0.8,5.8,6.68
18. Watford,11.1,5,0.6,5.5,6.65
19. Sunderland,10.2,4.4,0.6,5.1,6.62
20. Hull,10.4,4.3,0.7,5.4,6.60
