R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Auxerre,26,2,63,415
2,Arles-Avignon,29,3,65,388
3,Caen,23,2,58,373
4,Nice,23,2,60,373
5,Saint-Etienne,24,2,58,357
6,Paris Saint-Germain,23,2,63,355
7,Nancy,23,2,62,349
8,Monaco,25,2,62,349
9,Lens,20,2,63,349
10,Valenciennes,24,3,56,348
11,Brest,23,2,63,345
12,Lorient,21,3,63,333
13,Sochaux,24,3,58,331
14,Rennes,20,3,60,327
15,Toulouse,20,2,61,324
16,Marseille,22,2,55,316
17,Montpellier,18,2,59,310
18,Lille,17,2,54,304
19,Lyon,19,2,59,298
20,Bordeaux,18,2,58,293
